"Statistic Label","Census Year","Province","Intercensal period","UNIT","VALUE"
"Actual Change","2022","Leinster","1986 - 1991","Number","8300"
"Actual Change","2022","Leinster","1991 - 1996","Number","63753"
"Actual Change","2022","Leinster","1996 - 2002","Number","180877"
"Actual Change","2022","Leinster","2002 - 2006","Number","189544"
"Actual Change","2022","Leinster","2006 - 2011","Number","209691"
"Actual Change","2022","Leinster","2011 - 2016","Number","129589"
"Actual Change","2022","Leinster","2016 - 2022","Number","235951"
"Actual Change","2022","Munster","1926 - 1936","Number","-27630"
"Actual Change","2022","Munster","1936 - 1946","Number","-24966"
"Actual Change","2022","Munster","1946 - 1951","Number","-18436"
"Actual Change","2022","Munster","1951 - 1956","Number","-21632"
"Actual Change","2022","Munster","1956 - 1961","Number","-28035"
"Actual Change","2022","Munster","1961 - 1966","Number","10131"
"Actual Change","2022","Munster","1966 - 1971","Number","22668"
"Actual Change","2022","Munster","1971 - 1979","Number","97817"
"Actual Change","2022","Munster","1979 - 1981","Number","18496"
"Actual Change","2022","Munster","1981 - 1986","Number","22262"
"Actual Change","2022","Munster","1986 - 1991","Number","-11044"
"Actual Change","2022","Munster","1991 - 1996","Number","24370"
"Actual Change","2022","Munster","1996 - 2002","Number","66711"
"Actual Change","2022","Munster","2002 - 2006","Number","72726"
"Actual Change","2022","Munster","2006 - 2011","Number","72748"
"Actual Change","2022","Munster","2011 - 2016","Number","33932"
"Actual Change","2022","Munster","2016 - 2022","Number","93326"
"Actual Change","2022","Ulster (part of)","1926 - 1936","Number","-19822"
"Actual Change","2022","Ulster (part of)","1936 - 1946","Number","-16382"
"Actual Change","2022","Ulster (part of)","1946 - 1951","Number","-10635"
"Actual Change","2022","Ulster (part of)","1951 - 1956","Number","-17389"
"Actual Change","2022","Ulster (part of)","1956 - 1961","Number","-18339"
"Actual Change","2022","Ulster (part of)","1961 - 1966","Number","-9221"
"Actual Change","2022","Ulster (part of)","1966 - 1971","Number","-1099"
"Actual Change","2022","Ulster (part of)","1971 - 1979","Number","18833"
"Actual Change","2022","Ulster (part of)","1979 - 1981","Number","4122"
"Actual Change","2022","Ulster (part of)","1981 - 1986","Number","5849"
"Actual Change","2022","Ulster (part of)","1986 - 1991","Number","-3802"
"Actual Change","2022","Ulster (part of)","1991 - 1996","Number","2045"
"Actual Change","2022","Ulster (part of)","1996 - 2002","Number","12463"
"Actual Change","2022","Ulster (part of)","2002 - 2006","Number","20550"
"Actual Change","2022","Ulster (part of)","2006 - 2011","Number","27539"
"Actual Change","2022","Ulster (part of)","2011 - 2016","Number","1951"
"Actual Change","2022","Ulster (part of)","2016 - 2022","Number","17322"
"Net migration","2022","State","1926 - 1936","Number","-166751"
"Net migration","2022","State","1936 - 1946","Number","-187111"
"Net migration","2022","State","1946 - 1951","Number","-122489"
"Net migration","2022","State","1951 - 1956","Number","-196763"
"Net migration","2022","State","1956 - 1961","Number","-212003"
"Net migration","2022","State","1961 - 1966","Number","-80605"
"Net migration","2022","State","1966 - 1971","Number","-53906"
"Net migration","2022","State","1971 - 1979","Number","108934"
"Net migration","2022","State","1979 - 1981","Number","-5045"
"Net migration","2022","State","1981 - 1986","Number","-71883"
"Net migration","2022","State","1986 - 1991","Number","-134170"
"Net migration","2022","State","1991 - 1996","Number","8302"
"Net migration","2022","State","1996 - 2002","Number","153881"
"Net migration","2022","State","2002 - 2006","Number","191331"
"Net migration","2022","State","2006 - 2011","Number","122292"
